Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Bhilai,10th Pass,Customer Support,Full Time,Medium,2 Months,4,16000
Durg,12th Pass,Customer Support,Part Time,Small,30 Days,0,12000
Durg,10th Pass,Customer Support,Contract,Large,30 Days,2,16000
Dhamtari,BBA,Digital Marketing Executive,Full Time,Small,30 Days,12,94000
Raigarh,BA,MIS Executive,Intern,Small,15 Days,3,15000
Mungeli,B.Com,HR Executive,Part Time,Medium,2 Months,5,34000
Raigarh,MA,HR Executive,Full Time,Large,2 Months,9,130000
Mungeli,B.Com,Account Manager,Full Time,Small,30 Days,4,51000
Mahasamund,Diploma,Accountant,Full Time,Medium,2 Months,7,49000
Rajnandgaon,12th Pass,Sales Executive,Full Time,Medium,30 Days,6,34000
Rajnandgaon,B.Com,Sales Executive,Full Time,Small,2 Months,7,60000
Chirmiri,BA,MIS Executive,Full Time,Large,45 Days,3,64000
Dalli-Rajhara,BBA,Account Manager,Part Time,Medium,3 Months,11,67000
Mungeli,M.Com,HR Executive,Intern,Small,45 Days,5,33000
Chirmiri,10th Pass,Computer Operator,Full Time,Medium,45 Days,9,18000
Jagdalpur,Diploma,Customer Support,Full Time,Small,30 Days,1,20000
Bhilai,B.Com,Customer Support,Full Time,Medium,30 Days,2,35000
Bhilai,BA,Digital Marketing Executive,Full Time,Medium,2 Months,12,78000
Bemetra,BCA,Business Analyst,Full Time,Medium,30 Days,12,150000
Jagdalpur,10th Pass,Computer Operator,Full Time,Medium,30 Days,4,13000
Korba,BA,Digital Marketing Executive,Full Time,Medium,30 Days,15,87000
Bhatapara,Diploma,Computer Operator,Part Time,Large,Immediately,4,20000
Durg,Diploma,Content Writer,Part Time,Medium,Immediately,1,17000
Mungeli,10th Pass,Sales Executive,Part Time,Medium,Immediately,1,12000
Ambikapur,BA,Business Analyst,Full Time,Large,2 Months,9,111000
Manendragarh,B.Com,MIS Executive,Full Time,Medium,30 Days,12,98000
Ambikapur,12th Pass,Accountant,Full Time,Small,45 Days,2,22000
Naila Janjgir,MBA,Digital Marketing Executive,Full Time,Medium,30 Days,2,117000
Ambikapur,BCA,Sales Executive,Full Time,Small,45 Days,7,66000
Bilaspur,10th Pass,Sales Executive,Part Time,Large,15 Days,2,12000
Chirmiri,Diploma,Computer Operator,Full Time,Medium,30 Days,6,34000
Mahasamund,M.Com,HR Executive,Full Time,Medium,30 Days,1,78000
Mahasamund,12th Pass,Sales Executive,Full Time,Large,45 Days,5,41000
Dalli-Rajhara,BCA,Account Manager,Part Time,Small,45 Days,12,76000
Chirmiri,M.Com,Business Analyst,Full Time,Large,2 Months,11,150000
Bhatapara,Diploma,Accountant,Part Time,Small,Immediately,0,13000
Naila Janjgir,BA,MIS Executive,Part Time,Large,45 Days,4,34000
Bemetra,B.Com,HR Executive,Full Time,Medium,45 Days,4,49000
Chirmiri,M.Com,Digital Marketing Executive,Full Time,Medium,3 Months,6,126000
Bilaspur,Diploma,Content Writer,Contract,Large,3 Months,4,38000
Dhamtari,B.Com,MIS Executive,Full Time,Medium,45 Days,5,62000
Raipur,MA,MIS Executive,Full Time,Medium,45 Days,7,115000
Bhatapara,Diploma,Sales Executive,Full Time,Small,Immediately,1,28000
Dalli-Rajhara,BA,Digital Marketing Executive,Full Time,Large,2 Months,5,72000
Bhatapara,B.Com,Digital Marketing Executive,Part Time,Medium,30 Days,6,41000
Mahasamund,Diploma,Accountant,Part Time,Medium,30 Days,0,17000
Raipur,BA,Digital Marketing Executive,Full Time,Large,2 Months,13,96000
Bemetra,MA,Digital Marketing Executive,Full Time,Small,2 Months,10,126000
Mungeli,10th Pass,Sales Executive,Contract,Small,30 Days,8,21000
Korba,Diploma,Computer Operator,Full Time,Medium,Immediately,3,24000
Naila Janjgir,MA,Account Manager,Full Time,Large,2 Months,4,148000
Bilaspur,Diploma,Sales Executive,Part Time,Large,45 Days,1,25000
Bhilai,12th Pass,Accountant,Part Time,Large,2 Months,8,27000
Bhatapara,MBA,Digital Marketing Executive,Part Time,Large,30 Days,10,150000
Korba,MBA,HR Executive,Part Time,Medium,30 Days,2,65000
Jagdalpur,B.Com,Digital Marketing Executive,Full Time,Medium,15 Days,5,60000
Mahasamund,MBA,Digital Marketing Executive,Full Time,Medium,30 Days,16,150000
Mungeli,BCA,HR Executive,Full Time,Medium,2 Months,2,55000
Dhamtari,BCA,Sales Executive,Full Time,Medium,2 Months,11,99000
Ambikapur,Diploma,Content Writer,Full Time,Large,2 Months,4,38000
Mungeli,10th Pass,Sales Executive,Full Time,Medium,3 Months,5,24000
Chirmiri,MA,HR Executive,Contract,Medium,45 Days,12,102000
Durg,Diploma,Sales Executive,Full Time,Medium,30 Days,6,43000
Naila Janjgir,12th Pass,Content Writer,Contract,Large,2 Months,2,27000
Chirmiri,M.Com,Account Manager,Full Time,Large,2 Months,15,150000
Naila Janjgir,BCA,Sales Executive,Full Time,Large,Immediately,1,62000
Bilaspur,BBA,Digital Marketing Executive,Full Time,Large,30 Days,7,120000
Dhamtari,12th Pass,Accountant,Full Time,Small,30 Days,9,36000
Mahasamund,12th Pass,Sales Executive,Full Time,Large,45 Days,6,43000
Tilda Newra,12th Pass,Accountant,Full Time,Medium,15 Days,1,22000
Bemetra,MBA,HR Executive,Intern,Medium,30 Days,11,67000
Dhamtari,Diploma,Accountant,Full Time,Large,3 Months,7,55000
Rajnandgaon,M.Com,Business Analyst,Full Time,Medium,3 Months,8,150000
Bhilai,Diploma,Computer Operator,Full Time,Medium,2 Months,6,29000
Mungeli,12th Pass,Computer Operator,Full Time,Medium,45 Days,7,22000
Rajnandgaon,MA,Sales Executive,Part Time,Small,45 Days,3,42000
Dalli-Rajhara,Diploma,Accountant,Full Time,Large,3 Months,7,64000
Chirmiri,BCA,MIS Executive,Full Time,Large,30 Days,4,96000
Dalli-Rajhara,10th Pass,Computer Operator,Full Time,Medium,15 Days,8,16000
Chirmiri,BBA,MIS Executive,Full Time,Small,45 Days,4,61000
Naila Janjgir,BBA,Sales Executive,Full Time,Medium,30 Days,11,97000
Tilda Newra,MA,Digital Marketing Executive,Full Time,Small,30 Days,1,56000
Dhamtari,B.Com,Business Analyst,Full Time,Small,3 Months,5,70000
Dhamtari,BA,Sales Executive,Full Time,Large,15 Days,8,73000
Raipur,BCA,HR Executive,Part Time,Small,Immediately,4,34000
Raigarh,B.Com,Business Analyst,Full Time,Small,30 Days,12,90000
Bhilai,BCA,HR Executive,Part Time,Large,15 Days,0,30000
Raipur,M.Com,Digital Marketing Executive,Full Time,Large,Immediately,9,150000
Durg,M.Com,Digital Marketing Executive,Full Time,Large,15 Days,10,150000
Naila Janjgir,Diploma,Accountant,Full Time,Large,30 Days,7,58000
Mahasamund,BCA,Digital Marketing Executive,Full Time,Small,30 Days,2,56000
Dhamtari,BA,Sales Executive,Full Time,Small,30 Days,10,50000
Mahasamund,Diploma,Accountant,Full Time,Large,45 Days,3,47000
Korba,B.Com,Sales Executive,Part Time,Small,30 Days,12,37000
Manendragarh,MA,Account Manager,Intern,Medium,30 Days,14,66000
Ambikapur,BBA,Content Writer,Contract,Small,15 Days,2,34000
Naila Janjgir,MBA,Business Analyst,Contract,Large,30 Days,7,150000
Bhilai,BBA,Sales Executive,Intern,Small,45 Days,6,27000
Bemetra,Diploma,Content Writer,Full Time,Medium,30 Days,7,41000
Bhilai,M.Com,HR Executive,Full Time,Medium,30 Days,5,107000
Dalli-Rajhara,12th Pass,Sales Executive,Full Time,Large,3 Months,2,32000
Mahasamund,BA,MIS Executive,Full Time,Small,30 Days,7,49000
Bilaspur,Diploma,Sales Executive,Part Time,Large,3 Months,7,36000
Rajnandgaon,BA,Digital Marketing Executive,Intern,Large,2 Months,10,36000
Raigarh,12th Pass,Content Writer,Full Time,Medium,30 Days,6,31000
Tilda Newra,10th Pass,Computer Operator,Full Time,Small,15 Days,7,14000
Bhilai,MA,Account Manager,Full Time,Small,30 Days,11,121000
Naila Janjgir,MBA,HR Executive,Contract,Small,3 Months,7,101000
Bhilai,BCA,Sales Executive,Full Time,Medium,3 Months,5,67000
Durg,M.Com,Account Manager,Full Time,Large,30 Days,3,140000
Naila Janjgir,BBA,MIS Executive,Full Time,Large,30 Days,4,92000
Sakti,Diploma,Customer Support,Contract,Large,Immediately,5,37000
Korba,10th Pass,Computer Operator,Full Time,Large,2 Months,6,18000
Sakti,MA,Account Manager,Full Time,Medium,30 Days,6,124000
Rajnandgaon,12th Pass,Computer Operator,Full Time,Medium,3 Months,8,27000
Ambikapur,12th Pass,Accountant,Part Time,Small,30 Days,2,13000
Bhilai,12th Pass,Sales Executive,Full Time,Large,15 Days,3,34000
Rajnandgaon,M.Com,HR Executive,Part Time,Medium,3 Months,14,88000
Chirmiri,BBA,HR Executive,Full Time,Large,30 Days,8,106000
Rajnandgaon,M.Com,MIS Executive,Full Time,Medium,45 Days,4,119000
Manendragarh,BBA,Digital Marketing Executive,Full Time,Large,30 Days,12,141000
Naila Janjgir,BA,Business Analyst,Full Time,Medium,3 Months,6,63000
Bemetra,M.Com,MIS Executive,Full Time,Small,30 Days,4,95000
Dalli-Rajhara,BBA,Digital Marketing Executive,Full Time,Medium,15 Days,2,58000
Sakti,BCA,Account Manager,Full Time,Large,45 Days,6,130000
Mungeli,10th Pass,Customer Support,Part Time,Small,30 Days,4,12000
Korba,12th Pass,Content Writer,Contract,Small,45 Days,4,21000
Naila Janjgir,10th Pass,Computer Operator,Full Time,Medium,2 Months,2,12000
Bemetra,BCA,Sales Executive,Contract,Large,Immediately,1,60000
Ambikapur,BA,Customer Support,Part Time,Medium,15 Days,1,16000
Tilda Newra,B.Com,Digital Marketing Executive,Full Time,Small,Immediately,1,38000
Bemetra,MBA,MIS Executive,Contract,Large,2 Months,10,150000
Chirmiri,12th Pass,Customer Support,Part Time,Large,45 Days,0,12000
Sakti,10th Pass,Customer Support,Full Time,Large,30 Days,3,19000
Sakti,BA,HR Executive,Full Time,Small,45 Days,0,28000
Chirmiri,10th Pass,Customer Support,Intern,Medium,30 Days,7,8000
Raigarh,MBA,Account Manager,Part Time,Large,45 Days,5,124000
Durg,B.Com,Business Analyst,Full Time,Medium,45 Days,8,110000
Durg,B.Com,HR Executive,Full Time,Large,2 Months,7,83000
Mahasamund,BBA,MIS Executive,Contract,Medium,2 Months,7,83000
Manendragarh,12th Pass,Accountant,Part Time,Medium,30 Days,2,16000
Korba,BBA,MIS Executive,Full Time,Large,30 Days,6,96000
Jagdalpur,BCA,Customer Support,Contract,Medium,Immediately,1,39000
Jagdalpur,10th Pass,Computer Operator,Full Time,Small,3 Months,5,12000
Dalli-Rajhara,10th Pass,Customer Support,Full Time,Large,45 Days,8,26000
Ambikapur,MA,MIS Executive,Part Time,Large,30 Days,10,103000
Manendragarh,B.Com,MIS Executive,Full Time,Medium,2 Months,11,92000
Bhilai,BBA,Digital Marketing Executive,Full Time,Large,45 Days,11,133000
Manendragarh,BBA,HR Executive,Full Time,Small,45 Days,12,76000
Raipur,MBA,Account Manager,Full Time,Large,45 Days,2,150000
Ambikapur,Diploma,Sales Executive,Full Time,Large,3 Months,5,50000
Raigarh,BA,Business Analyst,Full Time,Large,45 Days,8,100000
Korba,MA,MIS Executive,Intern,Large,45 Days,14,93000
Bhilai,10th Pass,Sales Executive,Full Time,Small,45 Days,7,23000
Raipur,BBA,Digital Marketing Executive,Contract,Large,2 Months,11,109000
Bhatapara,BA,Business Analyst,Full Time,Large,3 Months,6,82000
Durg,Diploma,Content Writer,Full Time,Small,30 Days,9,38000
Mungeli,12th Pass,Sales Executive,Full Time,Medium,2 Months,6,34000
Raipur,B.Com,Accountant,Part Time,Small,15 Days,0,20000
Bemetra,B.Com,Digital Marketing Executive,Full Time,Medium,30 Days,8,81000
Rajnandgaon,Diploma,Content Writer,Full Time,Large,2 Months,2,31000
Dhamtari,M.Com,Business Analyst,Full Time,Medium,2 Months,16,150000
Bemetra,12th Pass,Customer Support,Contract,Medium,2 Months,4,20000
Durg,MBA,HR Executive,Full Time,Medium,15 Days,19,150000
Sakti,BA,Content Writer,Contract,Small,Immediately,0,23000
Bhatapara,MA,HR Executive,Full Time,Large,30 Days,9,129000
Dalli-Rajhara,BCA,Business Analyst,Full Time,Medium,Immediately,13,136000
Bilaspur,MA,Digital Marketing Executive,Part Time,Large,30 Days,8,88000
Manendragarh,MA,Business Analyst,Full Time,Small,30 Days,6,114000
Mungeli,10th Pass,Sales Executive,Part Time,Large,45 Days,8,18000
Mahasamund,BBA,HR Executive,Part Time,Small,30 Days,2,28000
Bhilai,10th Pass,Sales Executive,Full Time,Medium,30 Days,8,29000
Bhatapara,Diploma,Computer Operator,Full Time,Small,45 Days,11,33000
Ambikapur,BA,Digital Marketing Executive,Full Time,Medium,30 Days,4,48000
Bemetra,BBA,MIS Executive,Full Time,Small,30 Days,10,91000
Rajnandgaon,BBA,Sales Executive,Full Time,Medium,15 Days,1,55000
Sakti,BA,MIS Executive,Full Time,Medium,15 Days,4,57000
Korba,12th Pass,Customer Support,Intern,Large,30 Days,3,10000
Dalli-Rajhara,BA,HR Executive,Full Time,Large,30 Days,1,45000
Mahasamund,M.Com,Account Manager,Full Time,Small,3 Months,11,150000
Bhatapara,Diploma,Sales Executive,Full Time,Medium,15 Days,3,33000
Naila Janjgir,BBA,Account Manager,Part Time,Small,2 Months,7,47000
Durg,M.Com,Business Analyst,Full Time,Medium,Immediately,14,150000
Jagdalpur,B.Com,Sales Executive,Full Time,Small,30 Days,2,43000
Manendragarh,12th Pass,Accountant,Full Time,Small,3 Months,6,30000
Jagdalpur,BA,Business Analyst,Full Time,Large,30 Days,6,99000
Manendragarh,MBA,MIS Executive,Full Time,Medium,30 Days,15,150000
Raipur,BA,MIS Executive,Part Time,Medium,15 Days,11,47000
Chirmiri,M.Com,Account Manager,Contract,Small,45 Days,13,150000
Mahasamund,MBA,Digital Marketing Executive,Full Time,Medium,15 Days,17,150000
Manendragarh,BBA,Business Analyst,Full Time,Medium,30 Days,5,94000
Dalli-Rajhara,M.Com,HR Executive,Full Time,Small,30 Days,5,91000
Raigarh,M.Com,Business Analyst,Full Time,Medium,30 Days,8,150000
Dalli-Rajhara,Diploma,Customer Support,Full Time,Medium,2 Months,3,29000
Bhilai,B.Com,Digital Marketing Executive,Full Time,Small,Immediately,0,33000
Korba,12th Pass,Customer Support,Full Time,Small,Immediately,2,16000
Dhamtari,MBA,Sales Executive,Part Time,Small,15 Days,3,59000
Rajnandgaon,12th Pass,Content Writer,Full Time,Large,30 Days,4,35000
Naila Janjgir,BBA,Digital Marketing Executive,Part Time,Small,15 Days,15,63000
Naila Janjgir,Diploma,Computer Operator,Full Time,Large,45 Days,11,44000
Chirmiri,MA,Business Analyst,Full Time,Small,2 Months,6,122000
Dhamtari,12th Pass,Computer Operator,Part Time,Large,2 Months,9,22000
Rajnandgaon,MBA,MIS Executive,Contract,Medium,30 Days,10,150000
Jagdalpur,10th Pass,Computer Operator,Full Time,Large,15 Days,1,12000
Bilaspur,MBA,HR Executive,Contract,Small,3 Months,6,97000
Bhatapara,BCA,Business Analyst,Full Time,Small,30 Days,7,88000
Dalli-Rajhara,M.Com,MIS Executive,Full Time,Large,3 Months,16,150000
Durg,MBA,Digital Marketing Executive,Contract,Large,2 Months,2,125000
Durg,Diploma,Customer Support,Full Time,Small,30 Days,7,34000
Bemetra,12th Pass,Computer Operator,Full Time,Small,30 Days,0,12000
Bhilai,B.Com,Sales Executive,Full Time,Small,30 Days,7,55000
Dalli-Rajhara,12th Pass,Sales Executive,Full Time,Large,Immediately,6,39000
Bemetra,M.Com,Digital Marketing Executive,Full Time,Large,15 Days,4,149000
Durg,10th Pass,Computer Operator,Intern,Small,15 Days,4,8000
Rajnandgaon,BBA,HR Executive,Part Time,Medium,Immediately,1,31000
Dalli-Rajhara,BCA,Digital Marketing Executive,Part Time,Medium,45 Days,4,45000
Bilaspur,BCA,Sales Executive,Full Time,Small,2 Months,2,50000
Durg,BA,Account Manager,Full Time,Medium,3 Months,7,72000
Naila Janjgir,12th Pass,Computer Operator,Full Time,Medium,45 Days,5,23000
Sakti,B.Com,Digital Marketing Executive,Full Time,Small,30 Days,3,47000
Korba,BA,Business Analyst,Full Time,Small,30 Days,7,75000
Chirmiri,B.Com,Content Writer,Full Time,Small,2 Months,2,32000
Tilda Newra,Diploma,Content Writer,Full Time,Small,Immediately,0,19000
Bemetra,M.Com,Digital Marketing Executive,Full Time,Large,30 Days,4,142000
Mahasamund,10th Pass,Computer Operator,Part Time,Large,Immediately,0,12000
Rajnandgaon,BBA,Customer Support,Part Time,Medium,30 Days,0,20000
Korba,Diploma,Computer Operator,Full Time,Medium,45 Days,5,26000
Jagdalpur,BBA,HR Executive,Full Time,Medium,3 Months,5,63000
Raigarh,B.Com,HR Executive,Intern,Small,2 Months,5,20000
Sakti,MA,Digital Marketing Executive,Contract,Medium,30 Days,4,84000
Tilda Newra,Diploma,Accountant,Part Time,Medium,45 Days,1,18000
Korba,MBA,Sales Executive,Part Time,Medium,Immediately,4,77000
Korba,B.Com,Sales Executive,Intern,Medium,45 Days,7,28000
Bemetra,BBA,Digital Marketing Executive,Full Time,Large,2 Months,12,141000
Raipur,M.Com,MIS Executive,Full Time,Medium,15 Days,7,126000
Naila Janjgir,BA,Digital Marketing Executive,Full Time,Large,30 Days,7,74000
Bemetra,BCA,HR Executive,Full Time,Medium,30 Days,3,51000
Korba,10th Pass,Customer Support,Part Time,Medium,30 Days,8,12000
Bilaspur,B.Com,Sales Executive,Full Time,Large,45 Days,5,81000
Durg,10th Pass,Customer Support,Full Time,Small,15 Days,6,15000
Durg,12th Pass,Computer Operator,Full Time,Medium,15 Days,8,23000
Korba,BA,HR Executive,Part Time,Large,3 Months,6,34000
Manendragarh,BCA,Digital Marketing Executive,Full Time,Small,30 Days,0,40000
Mungeli,BBA,Digital Marketing Executive,Full Time,Medium,2 Months,8,87000
Durg,BCA,Sales Executive,Full Time,Small,Immediately,6,63000
Mungeli,B.Com,MIS Executive,Full Time,Small,30 Days,11,70000
Mungeli,MA,Digital Marketing Executive,Full Time,Medium,30 Days,9,123000
Dhamtari,B.Com,Account Manager,Full Time,Medium,2 Months,10,102000
Bhatapara,BA,Sales Executive,Part Time,Small,45 Days,1,19000
Sakti,BCA,Digital Marketing Executive,Full Time,Medium,15 Days,12,119000
Raipur,BCA,Customer Support,Contract,Small,45 Days,0,30000
Bemetra,BA,Business Analyst,Contract,Small,45 Days,10,74000
Raipur,BBA,Sales Executive,Full Time,Large,Immediately,1,59000
Bhilai,MBA,Account Manager,Full Time,Small,2 Months,10,150000
Raipur,B.Com,HR Executive,Part Time,Medium,3 Months,6,32000
Rajnandgaon,BBA,Content Writer,Full Time,Small,30 Days,0,37000
Tilda Newra,M.Com,MIS Executive,Part Time,Small,Immediately,1,45000
Dalli-Rajhara,10th Pass,Customer Support,Intern,Small,30 Days,3,8000
Raigarh,BCA,Business Analyst,Full Time,Medium,30 Days,12,144000
Sakti,MBA,Business Analyst,Full Time,Medium,2 Months,15,150000
Chirmiri,10th Pass,Sales Executive,Contract,Medium,15 Days,0,14000
Dalli-Rajhara,M.Com,Digital Marketing Executive,Full Time,Small,30 Days,6,120000
Dalli-Rajhara,Diploma,Accountant,Intern,Medium,15 Days,10,20000
Rajnandgaon,B.Com,Sales Executive,Full Time,Small,3 Months,7,57000
Korba,B.Com,Accountant,Contract,Small,30 Days,2,40000
Sakti,M.Com,Business Analyst,Full Time,Small,45 Days,9,150000
Chirmiri,B.Com,HR Executive,Contract,Large,45 Days,5,60000
Jagdalpur,B.Com,Account Manager,Full Time,Large,30 Days,12,149000
Korba,10th Pass,Customer Support,Full Time,Small,30 Days,5,14000
Raipur,BBA,HR Executive,Full Time,Small,Immediately,1,43000
Dalli-Rajhara,12th Pass,Sales Executive,Full Time,Medium,Immediately,3,27000
Sakti,B.Com,Sales Executive,Full Time,Medium,45 Days,6,71000
Tilda Newra,MBA,Sales Executive,Part Time,Medium,30 Days,1,62000
Raipur,B.Com,Business Analyst,Full Time,Medium,45 Days,15,144000
Naila Janjgir,M.Com,HR Executive,Full Time,Medium,15 Days,4,88000
Bemetra,BCA,Digital Marketing Executive,Full Time,Medium,2 Months,7,93000
Mungeli,10th Pass,Computer Operator,Full Time,Small,2 Months,10,17000
Mungeli,10th Pass,Sales Executive,Full Time,Medium,15 Days,0,13000
Durg,MA,Account Manager,Full Time,Small,15 Days,2,80000
Rajnandgaon,Diploma,Computer Operator,Full Time,Small,2 Months,7,27000
Rajnandgaon,MBA,Business Analyst,Full Time,Small,3 Months,10,150000
Mungeli,MBA,Business Analyst,Full Time,Large,45 Days,7,150000
Durg,BA,Account Manager,Full Time,Small,3 Months,6,55000
Raipur,BBA,Account Manager,Full Time,Small,30 Days,11,103000
Durg,M.Com,MIS Executive,Full Time,Large,45 Days,5,140000
Chirmiri,Diploma,Sales Executive,Full Time,Small,Immediately,6,37000
Jagdalpur,M.Com,Sales Executive,Part Time,Medium,15 Days,3,56000
Durg,12th Pass,Accountant,Full Time,Small,2 Months,4,26000
Rajnandgaon,MBA,MIS Executive,Part Time,Small,30 Days,2,67000
Mahasamund,BCA,Account Manager,Full Time,Medium,2 Months,6,100000
Tilda Newra,MA,Account Manager,Contract,Large,45 Days,11,150000
Durg,Diploma,Content Writer,Full Time,Medium,30 Days,4,34000
Ambikapur,Diploma,Computer Operator,Full Time,Medium,2 Months,7,33000
Mungeli,M.Com,MIS Executive,Full Time,Medium,3 Months,5,125000
Tilda Newra,MA,Account Manager,Full Time,Medium,45 Days,10,147000
Dhamtari,12th Pass,Computer Operator,Full Time,Large,30 Days,2,24000
Mahasamund,MA,Account Manager,Full Time,Large,30 Days,5,148000
Dhamtari,BBA,HR Executive,Full Time,Small,30 Days,8,65000
Dhamtari,MBA,HR Executive,Full Time,Large,30 Days,3,135000
Ambikapur,MBA,MIS Executive,Full Time,Large,30 Days,7,150000
Raipur,12th Pass,Content Writer,Full Time,Small,3 Months,12,36000
Sakti,M.Com,HR Executive,Full Time,Medium,15 Days,5,107000
Mahasamund,MA,MIS Executive,Full Time,Small,15 Days,7,108000
Manendragarh,10th Pass,Computer Operator,Full Time,Large,2 Months,7,23000
Bhilai,BBA,Sales Executive,Intern,Medium,30 Days,0,18000
Chirmiri,BBA,Sales Executive,Full Time,Small,30 Days,4,53000
Durg,BA,HR Executive,Contract,Large,2 Months,0,35000
Jagdalpur,12th Pass,Customer Support,Full Time,Medium,2 Months,3,21000
Sakti,10th Pass,Customer Support,Contract,Large,30 Days,2,15000
Bhatapara,BA,Digital Marketing Executive,Part Time,Large,Immediately,10,54000
Mahasamund,MBA,Digital Marketing Executive,Full Time,Small,2 Months,9,150000
Bhatapara,B.Com,Accountant,Part Time,Small,Immediately,1,22000
Bemetra,BBA,Business Analyst,Intern,Medium,2 Months,8,48000
Bhatapara,12th Pass,Sales Executive,Full Time,Large,30 Days,6,45000
Jagdalpur,BA,MIS Executive,Full Time,Medium,3 Months,4,47000
Raigarh,MA,HR Executive,Intern,Small,30 Days,10,36000
Durg,Diploma,Computer Operator,Intern,Large,15 Days,0,10000
Dalli-Rajhara,BCA,Digital Marketing Executive,Full Time,Medium,15 Days,8,102000
Manendragarh,MA,Sales Executive,Contract,Medium,2 Months,3,73000
Bhilai,BBA,Sales Executive,Contract,Medium,Immediately,1,47000
Rajnandgaon,B.Com,Sales Executive,Part Time,Small,30 Days,8,33000
Korba,10th Pass,Customer Support,Full Time,Small,Immediately,0,12000
Jagdalpur,B.Com,Business Analyst,Full Time,Medium,15 Days,4,74000
Raipur,10th Pass,Computer Operator,Full Time,Medium,45 Days,3,12000
Mungeli,M.Com,MIS Executive,Part Time,Medium,45 Days,14,119000
Mungeli,BCA,Digital Marketing Executive,Full Time,Medium,Immediately,6,86000
Bhatapara,BCA,Business Analyst,Full Time,Medium,30 Days,6,88000
Sakti,BA,Business Analyst,Full Time,Large,2 Months,8,92000
Bhatapara,BBA,Business Analyst,Full Time,Medium,30 Days,12,122000
Bhilai,10th Pass,Sales Executive,Full Time,Medium,15 Days,1,17000
Mungeli,BA,MIS Executive,Full Time,Large,2 Months,4,66000
Rajnandgaon,B.Com,Sales Executive,Intern,Small,15 Days,4,18000
Chirmiri,10th Pass,Sales Executive,Full Time,Small,30 Days,5,18000
Sakti,B.Com,Accountant,Contract,Small,30 Days,0,30000
Durg,M.Com,HR Executive,Contract,Small,30 Days,14,124000
Bemetra,BCA,Account Manager,Full Time,Medium,15 Days,3,67000
Korba,Diploma,Content Writer,Full Time,Medium,15 Days,3,28000
Tilda Newra,12th Pass,Computer Operator,Full Time,Small,45 Days,0,13000
Bemetra,12th Pass,Computer Operator,Intern,Large,2 Months,3,9000
Mungeli,M.Com,Digital Marketing Executive,Full Time,Small,3 Months,6,111000
Raipur,MA,Account Manager,Full Time,Medium,30 Days,11,150000
Bhilai,BA,MIS Executive,Full Time,Small,2 Months,4,46000
Mungeli,MBA,HR Executive,Full Time,Medium,30 Days,14,150000
Durg,BBA,HR Executive,Contract,Medium,15 Days,7,65000
Chirmiri,BA,Customer Support,Part Time,Small,15 Days,0,14000
Jagdalpur,BA,Business Analyst,Full Time,Medium,3 Months,6,71000
Durg,MA,HR Executive,Part Time,Small,Immediately,2,34000
Raipur,12th Pass,Sales Executive,Full Time,Medium,15 Days,9,44000
Rajnandgaon,B.Com,Sales Executive,Full Time,Medium,Immediately,1,48000
Bhatapara,MA,Account Manager,Full Time,Medium,30 Days,4,108000
Bemetra,MA,Digital Marketing Executive,Full Time,Medium,45 Days,2,79000
Mahasamund,BBA,Content Writer,Full Time,Large,15 Days,0,55000
Jagdalpur,BCA,Business Analyst,Full Time,Medium,30 Days,6,106000
Korba,10th Pass,Computer Operator,Intern,Small,15 Days,4,8000
Tilda Newra,B.Com,HR Executive,Full Time,Medium,2 Months,3,50000
Bilaspur,MA,Digital Marketing Executive,Full Time,Medium,15 Days,4,79000
Bhatapara,BCA,Business Analyst,Contract,Large,45 Days,7,135000
Rajnandgaon,BA,Sales Executive,Full Time,Medium,30 Days,2,39000
Raigarh,Diploma,Computer Operator,Full Time,Large,Immediately,7,36000
Raipur,B.Com,MIS Executive,Full Time,Small,3 Months,9,65000
Bhatapara,B.Com,Sales Executive,Intern,Large,45 Days,4,28000
Manendragarh,10th Pass,Sales Executive,Full Time,Medium,2 Months,5,20000
Dalli-Rajhara,BA,Content Writer,Contract,Medium,30 Days,1,26000
Bilaspur,MA,Digital Marketing Executive,Full Time,Small,45 Days,5,74000
Bhatapara,BBA,Digital Marketing Executive,Full Time,Small,3 Months,7,75000
Dhamtari,M.Com,HR Executive,Full Time,Large,45 Days,14,150000
Bhatapara,M.Com,Account Manager,Part Time,Large,15 Days,2,74000
Raipur,BA,Business Analyst,Full Time,Small,45 Days,3,50000
Rajnandgaon,BCA,Digital Marketing Executive,Full Time,Medium,3 Months,6,82000
Bhilai,M.Com,Account Manager,Intern,Small,Immediately,2,39000
Mahasamund,BCA,Business Analyst,Full Time,Small,3 Months,10,110000
Chirmiri,MBA,Business Analyst,Full Time,Small,30 Days,5,150000
Rajnandgaon,10th Pass,Computer Operator,Full Time,Small,45 Days,7,13000
Bhilai,B.Com,Business Analyst,Part Time,Large,45 Days,6,62000
Jagdalpur,MBA,Business Analyst,Contract,Large,2 Months,15,150000
Bilaspur,B.Com,Account Manager,Full Time,Medium,30 Days,3,64000
Raipur,B.Com,HR Executive,Contract,Medium,15 Days,6,56000
Tilda Newra,M.Com,Account Manager,Full Time,Medium,45 Days,14,150000
Dhamtari,10th Pass,Computer Operator,Part Time,Large,30 Days,7,12000
Ambikapur,BCA,Digital Marketing Executive,Intern,Medium,15 Days,2,28000
